query,id,rating
"COMBO A 1411 ECHO PARK AVE STE 101, LOS ANGELES, CA 90026, USA",ChIJB9tHQxzHwoARw-zgu8SFLXo,4.4
"CORAL REEF RESTAURANT 3200 GLENDALE BLVD, LOS ANGELES, CA 90039, USA",ChIJqU2PrNvAwoARs6cEmDw7wvk,4.3
"CVX 4807 LAS VIRGENES RD, CALABASAS, CA 91302, USA",ChIJrc-2Dscg6IARGD01W147bow,4.1
"DEL FRISCO'S DOUBLE EAGLE STEAKHOUSE 10250 SANTA MONICA BLVD # 1700, LOS ANGELES, CA 90067, USA",ChIJ122A3lO7woARBIFOTCr-0lY,4.3
"DEL TACO 1229 PACIFIC COAST HWY, HARBOR CITY, CA 90710, USA",ChIJVZ1Ohoo13YARtOCsX2GInME,3.8
"DOLLAR TREE 1431 W KNOX ST STE 400, TORRANCE, CA 90501, USA",ChIJmQN3GFa1woARbQsPrVyu_wA,4.1
"DOMINO'S PIZZA 7433 FLORENCE AVE # A, DOWNEY, CA 90240, USA",ChIJAfGFEsPNwoARtru-CuQhvrw,3.6
"EASY STREET BURGERS 4143 LANKERSHIM BLVD, STUDIO CITY, CA 91602, USA",ChIJCYpzR-y5woAR_pkgoPUBZw0,4.4
"EL PRIMO CARNECERIA 11010 LONG BEACH BLVD # A, LYNWOOD, CA 90626, USA",ChIJm1wWHwjLwoAR7pz27T2OPDc,5
"EL RANCHO MARKET 10412 HAWTHORNE BLVD, LENNOX, CA 90304, USA",ChIJ5wTyhvO2woARmF3Hacyt95I,4.3
"EL VALLE PRODUCE 14015 VAN NUYS BLVD # E, ARLETA, CA 91331, USA",ChIJ4R9mswKRwoAReL8qLJP0I4Y,4.2
"EMC SEAFOOD & RAW BAR 6252 N TOPANGA CANYON BLVD # 1695, WOODLAND HILLS, CA 91367, USA",ChIJLS8WqyGcwoARdTSn0JLYZu0,4.2
"GELATO BAR CAFE 4342 1/2 TUJUNGA AVE, STUDIO CITY, CA 91604, USA",ChIJQzqu_hq-woARwqycHTVsd_0,4.6
"GNC C 458 FAIR OAKS AVE, SOUTH PASADENA, CA 91030, USA",ChIJjTV1qY_EwoARtt6PyB71SyY,4.5
"GO TO GO WINGS 344 S INDIAN HILL BLVD, CLAREMONT, CA 91711, USA",ChIJL2QBIjExw4AREV765a3gV_c,4.8
"GOLDEN CORRAL 17308 BELLFLOWER BLVD, BELLFLOWER, CA 90706, USA",ChIJye2ayLwy3YARMUTknU3Luwo,4.2
"GOODY'S DONUTS 13301 ARTESIA BLVD, CERRITOS, CA 90703, USA",ChIJNzmHGwIt3YARj3yQTCSOmr4,4.7
"HAMPTON INN PALMDALE 39428 TRADE CENTER DR, PALMDALE, CA 93551, USA",ChIJf9jjD7xZwoAR7qQ3Nr0KAu8,4.1
"HONSHU SUSHI 10166 MASON AVE, CHATSWORTH, CA 91311, USA",ChIJWWlDvFibwoARfbz2Dw7sE2k,4.6
"HOT TONGUE PIZZA 2590 GLENDALE BLVD STE B, LOS ANGELES, CA 90039, USA",ChIJG8Cb21jBwoARarbOJX0uiSg,4.7
"IPIC THEATER 10840 WILSHIRE BLVD, LOS ANGELES, CA 90024, USA",ChIJxfydIIC8woARjv1jtgKyvCU,4.4
"J RANCHO MARKET 5559 ATLANTIC BLVD, MAYWOOD, CA 90270, USA",ChIJz1NZ1dzOwoARsjrNHSLyybM,4.4
"JOLLIBEE 347 E MAIN ST, ALHAMBRA, CA 91801, USA",ChIJ97xrFzLFwoARDmvFhDXBNpI,4
"KELLEY'S KOOKIES 440 FAIR OAKS AVE, SOUTH PASADENA, CA 91030, USA",ChIJM-ujcr3bwoAR86T60Ue_HyU,4.3
"KIMS FISH MANNA WORLD, INC. 10004 AVALON BLVD, LOS ANGELES, CA 90003, USA",ChIJ2wQ_8CfKwoARUPWU-ky8LAs,4.4
"KING TACO 12102 S LONG BEACH BLVD, LYNWOOD, CA 90262, USA",ChIJJdEw1IbLwoAR3fMn7bQddJo,4
"KUMBU SUSHI 300 S SANTA FE AVE # Q, LOS ANGELES, CA 90013, USA",ChIJsx9ISYvHwoARADS1PKgIv0k,4.6
"L K MARKET 2127 MAIN ST, SANTA MONICA, CA 90405, USA",ChIJY4A6vCqlwoAROKJo2TzdFk0,3.9
"LA ADELITA FOODS 1000 E WASHINGTON BLVD STE 108, LOS ANGELES, CA 90021, USA",ChIJLYFYSNXHwoAR7Brb_sDldpA,3.6
"LALIBELA ETHIOPIAN RESTAURANT 1025 S FAIRFAX AVE, LOS ANGELES, CA 90019, USA",ChIJQ2hu7xW5woARDzFGVM33-qA,4.5
"LAS DELICIAS DE LOS LOPEZ 7355 LANKERSHIM BLVD #A23, NORTH HOLLYWOOD, CA 91605, USA",ChIJo-xQkyiUwoARFJmONjFgQtc,4.2
"LEO'S BAKERY 7922 E ROSECRANS AVE STE D, PARAMOUNT, CA 90723, USA",ChIJ9Tccxd_MwoARU7CCaPwfLpk,4.3
"LINDLEY LIQUOR 7137 LINDLEY AVE, RESEDA, CA 91335, USA",ChIJZ8ePsYCZwoARuX5rcOI1UgU,4.7
"LITTLE CAESARS 336 S INDIAN HILL BLVD, CLAREMONT, CA 91711, USA",ChIJmc_wBuwxw4AROrl86PvoP-Y,3.9
"LOGRA TU META 3617 MONTEREY AVE, EL MONTE, CA 91731, USA",ChIJD-5m5KDQwoARePe8_uzpcOs,5
"LOS BURRITOS 1312 ECHO PARK AVE, LOS ANGELES, CA 90026, USA",ChIJd_4v9RzHwoAR-vGNZ8KWYS8,3.8
"MARISCOS EL VIEJON INC 14121 PARAMOUNT BLVD, PARAMOUNT, CA 90723, USA",ChIJVyBTMMnNwoARr6SvSMyam8c,4.5
"MARUGAME UDONS 2029 SAWTELLE BLVD, LOS ANGELES, CA 90025, USA",ChIJYWl55nS7woARHFfpa7Xk_Ys,4.5
"MCDONALD'S 2707 E CARSON ST, LAKEWOOD, CA 90712, USA",ChIJI4VrUa0z3YARrNlX_-bFMzw,3.8
"MENCHIE'S FROZEN YOGURT AT ANTELOPE VALLEY MALL 1301 W RANCHO VISTA BLVD # F, PALMDALE, CA 93551, USA",ChIJBY13HO9ZwoARWExKTLuit5c,4.7
"MERCADO LATINO MEAT MARKET 10334 FIRMONA AVE, LENNOX, CA 90304, USA",ChIJHwAUGfK2woARThhNOGamCKU,4.3
"MEYLER MARKET 22438 S MEYLER ST, TORRANCE, CA 90502, USA",ChIJe0JvQQA13YARwfXuU-2uGwY,fail
"MK'S DONUTS 4587 PECK RD, EL MONTE, CA 91732, USA",ChIJddNVLv_ZwoARE-uMc23sfpE,4.8
"MONSTER THAI CUISINE 12920 RIVERSIDE DR, SHERMAN OAKS, CA 91423, USA",ChIJlfLwPBiWwoARI8je6Xpg14k,4.3
"MR. M'S HOT WINGS & THINGS 886 N GARFIELD AVE, MONTEBELLO, CA 90640, USA",ChIJO1ed08PPwoARQYLO_xPVf-4,4.2
"NEW CHINA MONGOLIAN BBQ 10001 HAWTHORNE BLVD, INGLEWOOD, CA 90304, USA",ChIJEZ3KwL23woARnBPttu9Sdac,4.4
"OLD NAVY 9301 TAMPA AVE UNIT 42, NORTHRIDGE, CA 91324, USA",ChIJX7X1sHSbwoARb7tduyNvVKs,4.2
"ORANGE JULIUS/DAIRY QUEEN 9301 TAMPA AVE UNIT 75, NORTHRIDGE, CA 91324, USA",ChIJX7X1sHSbwoARj6qxooWylpk,4.2
"PANDA EXPRESS 2086 S ATLANTIC BLVD, MONTEREY PARK, CA 91754, USA",ChIJfUqpoZHPwoAR1yk8JIZOyTY,4.1
"PENNY COFFEE ROASTERS 905 E ARROW HWY # 107, GLENDORA, CA 91740, USA",ChIJpZuascYpw4AR1LKQSz3KTBs,4.5
"PIZZA HUT 909 W PACIFIC COAST HWY, WILMINGTON, CA 90744, USA",ChIJHwontME13YARSxyXpgXqpkM,3.8
"PORTSIDE FISH CO 905 E ARROW HWY # 103, GLENDORA, CA 91740, USA",ChIJDQON9Tkpw4ARphMFkyBou7I,3.5
"PRODUCE FOR LESS 5059 MELROSE AVE, LOS ANGELES, CA 90038, USA",ChIJW7IaHH-5woARRsj4TeTccD8,4.1
"RALPHS MARKET 260 S LA BREA AVE, LOS ANGELES, CA 90036, USA",ChIJq9sC39i4woARg_V5W7CPQ-s,4.2
"SAMPA'S PIZZA 2413 PACIFIC COAST HWY # 107, LOMITA, CA 90717, USA",ChIJdXy7JRxL3YARO5lV8yBkOgU,4.6
"SAN CARLO ITALIAN IMPORTS 10178 MASON AVE, CHATSWORTH, CA 91311, USA",ChIJSyUCqFibwoARNhDf1DhMvdw,4.8
"SANTA MONICA FARMS JR 2015 MAIN ST, SANTA MONICA, CA 90405, USA",ChIJX8YPY9WkwoART8Z2ir6zjk0,3.8
"SEE'S CANDIES 19301 VANOWEN ST, RESEDA, CA 91335, USA",ChIJNYfYLmCZwoAR2hs11Z51dfo,4.7
"SEE'S CANDIES 464 FAIR OAKS AVE, SOUTH PASADENA, CA 91030, USA",ChIJ4RzUqY_EwoARUwxXpXHj26k,4.7
"SHAKERS 601 S FAIR OAKS AVE, SOUTH PASADENA, CA 91030, USA",ChIJZVaD8I7EwoARsFwg-DhbP-c,4.4
"SILVER PANDA 10116 MASON AVE, CHATSWORTH, CA 91311, USA",ChIJzWd-VV-bwoARSiWa3TOVWyE,4.3
"SNACK STOP 603 S ATLANTIC BLVD, LOS ANGELES, CA 90022, USA",ChIJT4lg4qDPwoAR37UyYk0WR0E,5
"SO WHITTIER SENIOR NUTRITION PROGRAM 13201 E MEYER RD, WHITTIER, CA 90605, USA",ChIJh6EgnD3TwoARmVcogKAkAJY,4.5
"SONORITAS PRIME TACO 2004 SAWTELLE BLVD, LOS ANGELES, CA 90025, USA",ChIJk94o-HS7woAReEAkLZw72wo,4.4
"SPOONER'S BAR AND GRILL 2325 D ST, LA VERNE, CA 91750, USA",ChIJs8OJGk0uw4ARWFawZCZM0QI,4.6
"SPOT NOT AUTO WASH & GAS 15612 ARROW HWY, IRWINDALE, CA 91706, USA",ChIJt7PGbxzYwoARFotq6J_zdYw,4
"STARBUCKS COFFEE 15702 ARROW HWY, IRWINDALE, CA 91706, USA",ChIJC0uNkBzYwoARCQKg70iRNhs,4.4
"TACO BELL 6733 RESEDA BLVD, RESEDA, CA 91335, USA",ChIJX6G_JnmZwoAR8KcJUGWYLvw,4
"TACO BELL 15651 SHERMAN WAY, VAN NUYS, CA 91406, USA",ChIJt4hL00SXwoAR_0gLJkRgeGg,4
"TACOS GUADALAJARA 2241 W ROSECRANS AVE, GARDENA, CA 90249, USA",ChIJy7knFZS1woAROVUVuqTlO90,4.1
"THE CRAB SHACK 1451 W ARTESIA BLVD # 1, GARDENA, CA 90248, USA",ChIJCcYNnGG1woARnTqGy4ar9fE,4.3
"THE HABIT BURGER GRILL 4770 LANKERSHIM BLVD, NORTH HOLLYWOOD, CA 91602, USA",ChIJ3cT-hR--woARuKk2rSz0ofs,4.4
"THE HABIT BURGER GRILL 13621 FRANCISQUITO AVE, BALDWIN PARK, CA 91706, USA",ChIJl9GpEXbXwoARvyaF8mFDAPM,4.2
"THE TACO MAN TAQUERIA LLC 905 E ARROW HWY # 108, GLENDORA, CA 91740, USA",ChIJuWHlh60pw4ARVQpHcmy6yuI,3.9
"UNCLE HENRY'S DELI 7400 FLORENCE AVE, DOWNEY, CA 90241, USA",ChIJkxtuacPNwoARa6F1d86D_Gg,4.7
"VIETNAM RESTAURANT 340 W LAS TUNAS DR, SAN GABRIEL, CA 91776, USA",ChIJD8fSiKHbwoARVY9FEG7YYOk,4.2
"VONS MARKET 20440 DEVONSHIRE ST, CHATSWORTH, CA 91311, USA",ChIJ1d9wYlibwoARzHnwkwele1Q,4.3
"VONS PAVILIONS MARKET 11030 W JEFFERSON BLVD, CULVER CITY, CA 90230, USA",ChIJr3hXVgK6woARTslJqdA5ZyY,4.4
"VONS STORE MARKET 710 BROADWAY, SANTA MONICA, CA 90401, USA",ChIJ0_drls2kwoARDiN_0cz4cnw,4.1
"WENDY'S 15732 ARROW HWY, IRWINDALE, CA 91706, USA",ChIJoTWyoRjZwoARnvjzOLtZ5rE,4.2
"WINGSTOP 11315 S FIGUEROA ST #110, LOS ANGELES, CA 90061, USA",ChIJIQITORzKwoARUt2Tuzrm_ko,3.7
"YOSHINOYA 1479 N MONTEBELLO BLVD, MONTEBELLO, CA 90640, USA",ChIJTQTxejfQwoARI9BeTEtPy8U,3.8
"YOSHINOYA 14225 S VERMONT AVE, GARDENA, CA 90247, USA",ChIJJchsoHDKwoARTMsLU8-jaAM,4
"YUM YUM DONUTS 7410 FLORENCE AVE, DOWNEY, CA 90240, USA",ChIJZ1QOcsPNwoARlhIZRPojpos,4.2
"24 HOUR FITNESS-CLUB 904 6653 FALLBROOK AVE, WEST HILLS, CA 91307, USA",ChIJEzqTWjOcwoARTkDTITc7_sA,4
"CVS/PHARMACY 16461 VENTURA BLVD, ENCINO, CA 91436, USA",ChIJI9KsDCaYwoARj1XL_QuFf7w,3.7
"STARBUCKS COFFEE 16461 VENTURA BLVD, ENCINO, CA 91436, USA",ChIJ6bo2ciaYwoARCOB5rzO_btc,4.1
"SUBWAY 23101 SHERMAN PL, WEST HILLS, CA 91307, USA",ChIJCzTthLOdwoARQo6EuO-3uBM,3.6
"24 HOT CHICKEN & WAFFLE BAR 12048 VENTURA BLVD, STUDIO CITY, CA 91604, USA",ChIJm5cy8LmXwoAR2CJRMaSZkVs,4.6
"24 HOUR FITNESS 19350 NORDHOFF ST UNIT D, NORTHRIDGE, CA 91324, USA",ChIJXZ9eGaCbwoARcWYCtwjT_3w,3.5
"7-ELEVEN 10910 RUSH ST #A, SOUTH EL MONTE, CA 91733, USA",ChIJd9t1d33QwoAR2druM5xFn9w,3.4
"7-ELEVEN 1533 PECK RD, SOUTH EL MONTE, CA 91733, USA",ChIJL3mKzt7QwoARD7ZqAgLaIik,3.1
"A MI JAPANESE RESTAURANT 1051 BROXTON AVE, LOS ANGELES, CA 90024, USA",ChIJH_bdxIO8woARIF3qEiVREQQ,4.1
"ABSOLUTELY PHOBULOUS 350 N LA CIENEGA BLVD, LOS ANGELES, CA 90048, USA",ChIJU9NibrO-woARqTGbthSqLVQ,4.1
"AC HOTEL BY MARRIOTT LOS ANGELES SOUTH BAY 2130 E MAPLE AVE, EL SEGUNDO, CA 90024, USA",ChIJ8U-Aj7a2woARSClrpCJvQm0,4.3
"ALDI - 19350 NORDHOFF ST # F, NORTHRIDGE, CA 91324, USA",ChIJYdQB-jmbwoARppRq6TXAeAo,4.2
"AMECI RESTAURANT 11229 TAMPA AVE, NORTHRIDGE, CA 91324, USA",ChIJ6Xz5n0qbwoARKMVF5jQS8ao,4.3
"AMY'S BAKERY 633 N SPRING ST #6, LOS ANGELES, CA 90012, USA",ChIJc_CYL0XGwoARqM6apOjoRzE,4.2
"ANDANTE COFFEE 7623 BEVERLY BLVD, LOS ANGELES, CA 90036, USA",ChIJ-S7R3C25woARsu4qXT-x0Nk,4.3
"ARCELIA MARKET 1002 E VERNON AVE, LOS ANGELES, CA 90011, USA",ChIJTW4GtGDIwoARYGU08OcdfE4,4.7
"BAJA FRESH 2921 LOS FELIZ BLVD STE 1, LOS ANGELES, CA 90039, USA",ChIJc99W0OfAwoAR-tVSZXRRtd4,4.2
"BIONICOS Y SUGOS ZAPOPAN BAR 13714 AMAR RD, LA PUENTE, CA 91746, USA",ChIJjyZ9hQHXwoARgMHlShxPDBs,4.7
"BOILING POINT 206 S 1ST AVE, ARCADIA, CA 91006, USA",ChIJ_VYjkNzbwoAR3D8KPsFcBN4,4.1
"BOILING POINT 18001 PIONEER BLVD STE C, ARTESIA, CA 90701, USA",ChIJWR2lpQ4t3YARgK3U7RFVMnU,4.2
"BURGER ZONE 1603 DURFEE AVE, SOUTH EL MONTE, CA 91733, USA",ChIJo6CaMtnQwoARbqWOFUuKb0I,4.2
"CAFE 86 9717 RESEDA BLVD, NORTHRIDGE, CA 91324, USA",ChIJdY1FRaubwoARicL264ChOfQ,4.6
"CAFE GIVERNY 252 S OXFORD AVE, LOS ANGELES, CA 90004, USA",ChIJGWOvBJm4woARepticznDRJQ,4.5
"CALIFORNIA ROLL & SUSHI 2919 LOS FELIZ BLVD STE #5, LOS ANGELES, CA 90039, USA",ChIJ5ZEHDW-7woARqqeC35KXFOw,4.5
"CAMP PHO 715 LINCOLN BLVD, VENICE, CA 90291, USA",ChIJAZ_9hnC7woARHViEcXCCqJc,4.1
"CATCH 21 DOWNTOWN 441 S CENTRAL AVE, LOS ANGELES, CA 90013, USA",ChIJPTRjETrGwoAREzaGGAOkT7s,4.3
"CHARCOAL TASTE OF JERUSALEM 7563 BEVERLY BLVD, LOS ANGELES, CA 90036, USA",ChIJ7xFR8Xy5woARN6vCjJLSUV8,4.5
"CHICO'S MEXICAN RESTAURANT 100 N AVENUE 50, LOS ANGELES, CA 90042, USA",ChIJZ5bISRzEwoAR8uNGyaETPmw,4.5
"CHINA BOWL EXPRESS 1232 W FRANASQUITO AVE, WEST COVINA, CA 91790, USA",ChIJc2D880vWwoAR6keCR6QZlL8,4.3
"COFFEE BEAN & TEA LEAF 27630 THE OLD RD, VALENCIA, CA 91355, USA",ChIJ93T5VZSBwoARqnxpKRir2oQ,4.4
"CORNER BAKERY CAFE 1385 E GLADSTONE ST STE 300, GLENDORA, CA 91740, USA",ChIJsY7Ux7Mow4ARBhVVow49R2A,4.1
"CORONA LIQUOR 20043 VANOWEN ST, CANOGA PARK, CA 91306, USA",ChIJtxbM8fybwoARB6D3pt6hS24,4.6
"CRAFT BURGER 1377 E GLADSTONE AVE # 104, GLENDORA, CA 91740, USA",ChIJ2-nKX5_V3IAROi8YwjpBRDE,4.4
"CROFT ALLEY 9433 BRIGHTON WAY, BEVERLY HILLS, CA 90210, USA",ChIJhRjbjz-9woARUsgJruheOy0,4.2
"CVS/PHARMACY 6201 N SEPULVEDA BLVD, VAN NUYS, CA 91411, USA",ChIJDThGrHOXwoAR6fJkqVvZmrE,3.7
"DAISY'S BAKERY 1611 N DURFEE AVE STE 9, SOUTH EL MONTE, CA 91733, USA",ChIJ_3DGNNnQwoAROXE97sQ8Rk8,4.4
"DALY MARKET 2235 DALY ST, LOS ANGELES, CA 90031, USA",ChIJxzva6HzGwoARr-RQfQB0ZI8,4.6
"DENNY'S 530 RAMIREZ ST, LOS ANGELES, CA 90012, USA",ChIJk5Bem0HGwoARYfC3ckEznmI,3.9
"DJ BIBINGKAHAN RESTAURANT AND BAKERY 14417 ROSCOE BLVD, PANORAMA CITY, CA 91402, USA",ChIJt_xnNNOQwoARPpr0MOn1Htw,3.8
"DON CHONS MENUDO 13302 1/2 FILMORE ST, PACOIMA, CA 91331, USA",ChIJo3Cn5F-RwoARYmcu9cq9MI4,4.4
"DOPOLAVORO BEVERLY 7605 1/2 BEVERLY BLVD, LOS ANGELES, CA 90036, USA",ChIJgQssVI65woARc_YsHdE40fE,5
"EARTHBAR-EQUINOX MANHATTAN 5400 W ROSECRANS AVE, HAWTHORNE, CA 90250, USA",ChIJHe8sThe0woARtiHf4BhVVMA,4.3
"EDWARD INTERNATIONAL(USA)INC 9552 LAS TUNAS DR, TEMPLE CITY, CA 91780, USA",fail,fail
"EL MERENDERO BAKERY 240 S GAREY AVE, POMONA, CA 91766, USA",ChIJB3whXeUtw4ARnzUwSNp2UIM,4.4
"EL MERENDERO RESTAURANT 242 S GAREY AVE, POMONA, CA 91766, USA",ChIJB3whXeUtw4ARnzUwSNp2UIM,4.4
"EL POLLO LOCO 800 N SEPULVEDA BLVD, MANHATTAN BEACH, CA 90266, USA",ChIJI6Wx-IqzwoARzR-jIkEw7Qk,3.8
"ELLIOTT LIQUORS 13716 E AMAR RD, LA PUENTE, CA 91746, USA",ChIJu_xMjAHXwoAR2tG7Xz8VlII,4.1
"FARID RESTAURANT 635 S BROADWAY # #A35, LOS ANGELES, CA 90014, USA",ChIJEXbnTbXHwoAR4MNqLrKw7YI,4.4
"FAT BURGER 6162 SEPULVEDA BLVD, VAN NUYS, CA 91411, USA",ChIJeYryDHOXwoARFert9Tvf6aw,4.3
"FERRARINI DELI AND MORE 9622 BRIGHTON WAY, BEVERLY HILLS, CA 90210, USA",ChIJj3aoBPi7woARFpoLJoH-WVs,4.5
"FIVE GUYS BURGERS & FRIES 12930 VENTURA BLVD #106, STUDIO CITY, CA 91604, USA",ChIJWz6w3_S9woARsPGtNMU02Gw,4.4
"FOOD 4 LESS 3200 W CENTURY BLVD, INGLEWOOD, CA 90303, USA",ChIJ1e9a5EG2woAR4XQhwX5az3I,4
"GAMJA BAWI 928 S WESTERN AVE STE 129, LOS ANGELES, CA 90006, USA",ChIJmy6mWYa4woARjt59L225xrA,3.6
"GOLDEN BURGER 1938 W 3RD ST, LOS ANGELES, CA 90057, USA",ChIJx6pNFArHwoARJ_7hQTJpVEU,4.4
"GRAND MEAT MARKET 459 W BROADWAY STE 2, GLENDALE, CA 91204, USA",ChIJ58O4gFfAwoAR2hQCaNk4f9U,4.7
"GUERO MEXICAN RESTAURANT 1919 W 7TH ST # R, LOS ANGELES, CA 90057, USA",ChIJ4bof3TTGwoARYXOcj-aU1F0,4.5
"HEADLINES DINER AND GRILL 1131 WESTWOOD BLVD, LOS ANGELES, CA 90024, USA",ChIJIYhhLoK8woARpzhOI09T9Rw,4.2
"HOJAS PREMIUM TEA HOUSE 1201 N AVALON BLVD # B, WILMINGTON, CA 90744, USA",ChIJdXQXY8Y13YARLQ_yc7d6YLk,4.5
"HONEY DONUT 1883 DALY ST, LOS ANGELES, CA 90031, USA",ChIJjS9FkXrGwoAR25OBGSiPiZA,4.6
"HOTEL ANGELENO CAFE 170 N CHURCH LN, LOS ANGELES, CA 90049, USA",ChIJt37HtsC8woARLi6S2eMbe_o,4
"ISLAND PACIFIC SEAFOOD MARKET 19385 SOLEDAD CANYON RD, SANTA CLARITA, CA 91351, USA",ChIJWWkcjoiIwoAR_xSeUJ1rNDY,4.3
"JACK IN THE BOX 11216 TAMPA AVE, PORTER RANCH, CA 91326, USA",ChIJ7VHtZDWbwoARPlrGrqF334M,4.1
"JAMMROK JERK CHICKEN 3650 W MARTIN LUTHER KING JR BLVD # 131, LOS ANGELES, CA 90008, USA",ChIJOdYUQxsD9YgRP4RSod_2RiY,4
"JOHNSON MINI MARKET 11301 AVALON BLVD, LOS ANGELES, CA 90061, USA",ChIJ-xBsBCbKwoAR89egRH05QBA,5
"JT RESTAURANT 1061 HILL ST, LOS ANGELES, CA 90015, USA",ChIJVVUoc8nHwoARg-18nF5thaA,5
"JUAN'S ROTISSERIE POLLO 13710 AMAR RD, LA PUENTE, CA 91746, USA",ChIJyRqfgAHXwoAR7YJAWVqwKGQ,4.5
"JUANITA CAFE 717 S BROADWAY, LOS ANGELES, CA 90014, USA",ChIJZ7nTD6PHwoARcXMBbtFR-Lk,4.3
"JUST WHAT I KNEADED 2029 BLAKE AVE # 104, LOS ANGELES, CA 90039, USA",ChIJUT6ulHzHwoARhGRvnszTvf0,4.6
"KFC 8644 BALBOA BLVD, NORTHRIDGE, CA 91325, USA",ChIJB4egNROawoAR-ChZgVQZlDE,3.9
"KING'S DONUTS & BAGELS 1330 W FRANCISQUITO AVE, WEST COVINA, CA 91790, USA",ChIJqYRFG0zWwoARZi6LbqZlhco,4.5
"KITCHEN MOUSE 111 S AVENUE 59, LOS ANGELES, CA 90042, USA",ChIJe8Wx9cPFwoAR7qHYYmpA0cY,4.8
"LA ADELITA MEXICAN RESTAURANT 134 E COLORADO BLVD, MONROVIA, CA 91016, USA",ChIJBz38t2vZwoAR3fIbyq9Agpc,4.5
"LA CARRETA 1471 E VERNON AVE, LOS ANGELES, CA 90011, USA",ChIJG-UIvvTIwoAREBLCDvsCXLw,4.5
"LA PIZZA DEL SOL 1883 DALY ST STE 105, LOS ANGELES, CA 90031, USA",ChIJM-q4lnrGwoAReSlNa-JYsos,4.4
"LAS 3 MICHOACANAS PANADERIA 14522 ARCHWOOD ST, VAN NUYS, CA 91405, USA",ChIJJwAMWBqXwoARDKeXObGGmxM,3.9
"LAZEEZ DELI & MINI MART 4903 TORRANCE BLVD, TORRANCE, CA 90503, USA",ChIJC6SWqty1woARW8t0kPcoPJ8,4.2
"LIQUOR DEPOT 1805 W 7TH ST, LOS ANGELES, CA 90057, USA",ChIJB5eRkm3HwoARUd1PafmBroY,4.4
"LITTLE CAESARS 736 N FRIES AVE, WILMINGTON, CA 90744, USA",ChIJWRi-59k13YARmnoAaSwHt8I,3.7
